Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,10226.530273,10291.459961,10200.459961,10266.290039,10266.290039,0
2020-06-22,10196.019531,10272.940430,10144.860352,10151.129883,10151.129883,56464800
2020-06-23,10205.719727,10265.820313,10180.809570,10246.559570,10246.559570,67986900
2020-06-24,10187.780273,10216.519531,10021.990234,10021.990234,10021.990234,75172800
2020-06-25,9976.000000,10089.830078,9925.959961,10089.830078,10089.830078,68197000
2020-06-26,10163.910156,10172.150391,10018.200195,10041.910156,10041.910156,68579300
2020-06-29,10021.889648,10080.849609,10004.259766,10060.459961,10060.459961,54857000
2020-06-30,10070.959961,10077.230469,10000.820313,10045.299805,10045.299805,53420200
2020-07-01,10027.450195,10142.219727,9991.490234,10089.669922,10089.669922,62466500
2020-07-02,10157.830078,10187.559570,10113.030273,10187.559570,10187.559570,66545900
2020-07-03,10204.490234,10210.150391,10110.250000,10125.839844,10125.839844,33570300
2020-07-06,10248.879883,10268.190430,10197.379883,10253.379883,10253.379883,50513400
2020-07-07,10213.540039,10228.860352,10157.519531,10207.959961,10207.959961,46365500
2020-07-08,10150.620117,10224.070313,10145.389648,10178.410156,10178.410156,50649200
2020-07-09,10219.150391,10265.830078,10117.650391,10143.379883,10143.379883,50169700
2020-07-10,10114.919922,10242.379883,10113.490234,10229.969727,10229.969727,47714100
2020-07-13,10298.820313,10304.040039,10220.330078,10300.959961,10300.959961,50905300
2020-07-14,10204.879883,10259.500000,10117.639648,10259.500000,10259.500000,64978500
2020-07-15,10358.830078,10501.339844,10330.419922,10460.009766,10460.009766,62956800
2020-07-16,10402.240234,10433.429688,10356.700195,10433.429688,10433.429688,50418800
2020-07-17,10428.900391,10430.889648,10370.719727,10410.519531,10410.519531,45170400
2020-07-20,10388.160156,10491.089844,10341.519531,10470.919922,10470.919922,45227100
2020-07-21,10495.200195,10535.330078,10421.830078,10444.049805,10444.049805,68407500
2020-07-22,10406.209961,10447.990234,10375.980469,10439.040039,10439.040039,60036500
2020-07-23,10456.660156,10477.480469,10367.639648,10383.379883,10383.379883,58846800
2020-07-24,10271.379883,10273.280273,10181.299805,10214.209961,10214.209961,50387400
2020-07-27,10174.719727,10297.230469,10174.280273,10272.339844,10272.339844,46193800
2020-07-28,10292.219727,10320.200195,10222.889648,10277.200195,10277.200195,55784300
2020-07-29,10276.940430,10295.519531,10242.400391,10272.809570,10272.809570,54817100
2020-07-30,10267.610352,10274.040039,10007.849609,10095.339844,10095.339844,73533200
2020-07-31,10127.030273,10199.620117,9984.990234,10005.900391,10005.900391,70667400
2020-08-03,10013.360352,10279.799805,9999.549805,10229.669922,10229.669922,57347300
2020-08-04,10244.980469,10256.919922,10107.290039,10162.040039,10162.040039,0
2020-08-05,10199.309570,10220.860352,10097.870117,10097.969727,10097.969727,37839700
2020-08-06,10084.959961,10149.900391,10015.459961,10067.129883,10067.129883,47558100
2020-08-07,10061.700195,10126.929688,10039.059570,10068.030273,10068.030273,37244700
2020-08-10,10080.480469,10144.110352,10061.190430,10090.910156,10090.910156,40074900
2020-08-11,10133.290039,10213.469727,10109.099609,10153.240234,10153.240234,51399800
2020-08-12,10142.620117,10290.870117,10134.730469,10278.660156,10278.660156,49928100
2020-08-13,10280.629883,10303.019531,10243.269531,10260.110352,10260.110352,41958000
2020-08-14,10225.929688,10235.450195,10095.219727,10163.599609,10163.599609,37951200
2020-08-17,10174.919922,10228.080078,10120.410156,10228.059570,10228.059570,32356400
2020-08-18,10189.639648,10257.940430,10142.459961,10168.400391,10168.400391,0
2020-08-19,10153.299805,10310.009766,10139.309570,10310.009766,10310.009766,0
